segmento;indice_test;Fecha;precio_real;precio_pred;valor_escalado_real;valor_escalado_pred;Maximo_historico_alcanzado;Precio_apertura_del_dia;Precio_cierre_del_dia;Precio_cierre_promedio_diario;Promedio_volumen_transado;Rango_del_dia;Recuento_volumen_por_dia;Suma_apertura_por_dia;Suma_cierre_por_dia;Volumen_promedio_diario,
backtest;1;;304.87;287.3873;0.245359048;0.23101133;158.715879;156.261566;157.993553;151.494354; 248.596;156.657698;;;;,
backtest;2;;312.5;292.7799;0.251620845;0.23543695;;;;;;;;;;,
backtest;3;;322.62;299.67603;0.259926139;0.24109645;;;;;;;;;;,
backtest;4;;312.1;308.19943;0.251292573;0.24809144;;;;;;;;;;,
backtest;5;;311.2;309.44086;0.25055396;0.24911027;;;;;;;;;;,
backtest;6;;321.22;307.60287;0.258777185;0.24760185;;;;;;;;;;,
backtest;7;;339.63;309.31436;0.273885925;0.24900645;;;;;;;;;;,
backtest;8;;350.01;318.45612;0.282404596;0.25650892;;;;;;;;;;,
backtest;9;;352.22;330.06424;0.284218301;0.2660355;;;;;;;;;;,
backtest;10;;358.8;338.55087;0.289618383;0.2730003;;;;;;;;;;,
backtest;11;;351.01;345.17422;0.283225277;0.27843598;;;;;;;;;;,
backtest;12;;361.05;345.2256;0.291464916;0.27847812;;;;;;;;;;,
backtest;13;;348.71;347.10562;0.28133771;0.28002104;;;;;;;;;;,
backtest;14;;341.01;343.56036;0.275018465;0.2771115;;;;;;;;;;,
backtest;15;;339.48;336.81076;0.273762823;0.27157223;;;;;;;;;;,
backtest;16;;355.02;331.26498;0.286516208;0.2670209;;;;;;;;;;,
backtest;17;;352.25;334.61887;0.284242922;0.2697734;;;;;;;;;;,
backtest;18;;353.01;338.3133;0.284866639;0.27280533;;;;;;;;;;,
backtest;19;;350.78;341.288;0.28303652;0.27524662;;;;;;;;;;,
backtest;20;;350.66;342.19287;0.282938039;0.27598923;;;;;;;;;;,
backtest;21;;356.8;342.2005;0.287977021;0.2759955;;;;;;;;;;,
backtest;22;;352.2;344.40387;0.284201888;0.27780375;;;;;;;;;;,
backtest;23;;361.84;344.5014;0.292113254;0.2778838;;;;;;;;;;,
backtest;24;;374.67;347.81085;0.302642593;0.2805998;;;;;;;;;;,
backtest;25;;351.85;355.74683;0.283914649;0.2871127;;;;;;;;;;,
backtest;26;;357.3;352.68878;0.288387362;0.28460303;;;;;;;;;;,
backtest;27;;366.95;349.91464;0.296306935;0.28232634;;;;;;;;;;,
backtest;28;;362.74;351.9455;0.292851867;0.28399304;;;;;;;;;;,
backtest;29;;369.44;352.7685;0.298350431;0.28466845;;;;;;;;;;,
backtest;30;;368.72;355.63553;0.29775954;0.28702137;;;;;;;;;;,
backtest;31;;370.45;357.61792;0.299179319;0.28864828;;;;;;;;;;,
backtest;32;;381.07;359.25653;0.307894953;0.28999305;;;;;;;;;;,
backtest;33;;378;364.2968;0.305375462;0.29412952;;;;;;;;;;,
backtest;34;;369.42;366.98495;0.298334017;0.29633564;;;;;;;;;;,
backtest;35;;379.6;364.49112;0.306688551;0.294289;;;;;;;;;;,
backtest;36;;366.2;365.49557;0.295691424;0.29511333;;;;;;;;;;,
backtest;37;;368;361.6174;0.29716865;0.2919306;;;;;;;;;;,
backtest;38;;379.91;358.70023;0.306942963;0.2895365;;;;;;;;;;,
backtest;39;;381.2;361.96237;0.308001641;0.29221368;;;;;;;;;;,
backtest;40;;384.49;366.24704;0.310701682;0.29573002;;;;;;;;;;,
backtest;41;;393.57;370.54874;0.318153467;0.29926035;;;;;;;;;;,
backtest;42;;394.87;376.7554;0.319220353;0.30435404;;;;;;;;;;,
backtest;43;;408.64;381.44516;0.330521133;0.30820283;;;;;;;;;;,
backtest;44;;420.36;389.15756;0.340139516;0.31453228;;;;;;;;;;,
backtest;45;;419.17;399.02075;0.339162905;0.3226268;;;;;;;;;;,
backtest;46;;402.09;404.82654;0.325145671;0.3273915;;;;;;;;;;,
backtest;47;;415.08;400.10114;0.335806319;0.32351345;;;;;;;;;;,
backtest;48;;409.09;399.18857;0.330890439;0.32276452;;;;;;;;;;,
backtest;49;;405.39;397.02094;0.327853919;0.3209856;;;;;;;;;;,
backtest;50;;408.06;393.89447;0.330045137;0.31841975;;;;;;;;;;,
backtest;51;;420.43;392.9003;0.340196963;0.31760386;;;;;;;;;;,
backtest;52;;413.14;397.95648;0.334214198;0.32175338;;;;;;;;;;,
backtest;53;;417.55;399.94702;0.337833402;0.32338697;;;;;;;;;;,
backtest;54;;405.19;402.25717;0.327689783;0.32528287;;;;;;;;;;,
backtest;55;;407.78;398.8745;0.329815347;0.3225068;;;;;;;;;;,
backtest;56;;416.86;396.33896;0.337267132;0.3204259;;;;;;;;;;,
backtest;57;;408.62;398.66885;0.330504719;0.322338;;;;;;;;;;,
backtest;58;;418.62;398.2063;0.338711531;0.3219584;;;;;;;;;;,
backtest;59;;424.56;401.25095;0.343586377;0.32445708;;;;;;;;;;,
backtest;60;;424.59;406.41827;0.343610997;0.3286978;;;;;;;;;;,
backtest;61;;440.41;410.1263;0.356594173;0.33174092;;;;;;;;;;,
backtest;62;;449.11;418.1614;0.363734099;0.3383352;;;;;;;;;;,
backtest;63;;451.47;427.4375;0.365670907;0.3459479;;;;;;;;;;,
backtest;64;;453.42;434.0516;0.367271235;0.35137597;;;;;;;;;;,
backtest;65;;447.98;437.74564;0.36280673;0.35440758;;;;;;;;;;,
backtest;66;;446.6;436.62787;0.36167419;0.35349026;;;;;;;;;;,
backtest;67;;434;433.77832;0.351333607;0.35115167;;;;;;;;;;,
backtest;68;;457.61;426.346;0.370709889;0.34505212;;;;;;;;;;,
backtest;69;;457.72;429.98145;0.370800164;0.34803566;;;;;;;;;;,
backtest;70;;462.56;435.2908;0.374772261;0.35239294;;;;;;;;;;,
backtest;71;;493.48;441.10294;0.400147723;0.35716286;;;;;;;;;;,
backtest;72;;490.43;457.08154;0.397644645;0.3702762;;;;;;;;;;,
backtest;73;;485.54;468.14713;0.393631514;0.37935752;;;;;;;;;;,
backtest;74;;485.64;471.35077;0.393713582;0.38198668;;;;;;;;;;,
backtest;75;;507.34;470.77814;0.411522364;0.38151672;;;;;;;;;;,
backtest;76;;508.81;477.56168;0.412728765;0.38708386;;;;;;;;;;,
backtest;77;;510;483.86578;0.413705375;0.3922575;;;;;;;;;;,
backtest;78;;510.92;487.8544;0.414460402;0.3955309;;;;;;;;;;,
backtest;79;;505.13;489.78433;0.409708658;0.39711475;;;;;;;;;;,
backtest;80;;525.91;487.9079;0.426762413;0.3955748;;;;;;;;;;,
backtest;81;;534.98;493.8869;0.434205991;0.40048167;;;;;;;;;;,
backtest;82;;552.84;503.10416;0.448863357;0.4080461;;;;;;;;;;,
backtest;83;;573.86;516.6202;0.466114075;0.41913843;;;;;;;;;;,
backtest;84;;520.62;534.10126;0.422421009;0.43348482;;;;;;;;;;,
backtest;85;;504.9;524.3025;0.409519902;0.42544317;;;;;;;;;;,
backtest;86;;476.52;504.57394;0.38622897;0.40925232;;;;;;;;;;,
backtest;87;;508.6;478.38715;0.412556422;0.3877613;;;;;;;;;;,
backtest;88;;492.47;473.8277;0.399318835;0.38401946;;;;;;;;;;,
backtest;89;;486.58;471.12198;0.394485023;0.38179892;;;;;;;;;;,
backtest;90;;514.89;468.72324;0.417718506;0.37983033;;;;;;;;;;,
backtest;91;;519.64;479.37152;0.421616742;0.38856918;;;;;;;;;;,
backtest;92;;500.58;491.63916;0.405974559;0.398637;;;;;;;;;;,
backtest;93;;498.54;492.2058;0.404300369;0.39910203;;;;;;;;;;,
backtest;94;;487.57;488.51648;0.395297497;0.39607427;;;;;;;;;;,
backtest;95;;500.69;480.4603;0.406064834;0.3894627;;;;;;;;;;,
backtest;96;;505.51;479.4015;0.410020517;0.38859376;;;;;;;;;;,
backtest;97;;484.95;482.4589;0.393147312;0.3911029;;;;;;;;;;,
backtest;98;;493.92;477.31613;0.400508822;0.38688233;;;;;;;;;;,
backtest;99;;514.95;475.6351;0.417767747;0.38550276;;;;;;;;;;,
backtest;100;;521.4;483.8479;0.423061141;0.39224285;;;;;;;;;;,
backtest;101;;529.03;493.9997;0.429322938;0.40057424;;;;;;;;;;,
backtest;102;;541.22;503.6178;0.439327041;0.40846762;;;;;;;;;;,
backtest;103;;544.58;513.79944;0.44208453;0.4168235;;;;;;;;;;,
backtest;104;;522.49;520.93085;0.423955683;0.42267615;;;;;;;;;;,
backtest;105;;545.7;515.1866;0.443003693;0.41796193;;;;;;;;;;,
backtest;106;;549.46;516.9815;0.446089454;0.41943496;;;;;;;;;;,
backtest;107;;558.56;521.1385;0.453557653;0.42284653;;;;;;;;;;,
backtest;108;;553.55;527.7169;0.44944604;0.42824534;;;;;;;;;;,
backtest;109;;550.51;530.25604;0.446951169;0.43032914;;;;;;;;;;,
backtest;110;;569.04;529.40125;0.462158391;0.42962763;;;;;;;;;;,
backtest;111;;569.93;535.1514;0.462888798;0.4343467;;;;;;;;;;,
backtest;112;;563.81;540.6184;0.457866229;0.43883333;;;;;;;;;;,
backtest;113;;558.8;541.4214;0.453754616;0.43949234;;;;;;;;;;,
backtest;114;;552.46;538.60114;0.448551498;0.4371778;;;;;;;;;;,
backtest;115;;539.91;533.3583;0.438251949;0.43287507;;;;;;;;;;,
backtest;116;;545.82;524.60406;0.443102175;0.42569068;;;;;;;;;;,
backtest;117;;540.99;520.93;0.439138285;0.4226754;;;;;;;;;;,
backtest;118;;534.44;518.4847;0.433762823;0.4206686;;;;;;;;;;,
backtest;119;;543.61;515.1722;0.441288469;0.4179501;;;;;;;;;;,
backtest;120;;525.65;516.9563;0.426549036;0.41941428;;;;;;;;;;,
backtest;121;;535.87;512.5756;0.434936397;0.41581917;;;;;;;;;;,
backtest;122;;505.08;512.6241;0.409667624;0.4158589;;;;;;;;;;,
backtest;123;;520.96;501.74405;0.422700041;0.40692988;;;;;;;;;;,
backtest;124;;501.36;498.78354;0.40661469;0.40450025;;;;;;;;;;,
backtest;125;;503.23;491.47864;0.408149364;0.39850524;;;;;;;;;;,
backtest;126;;520.78;486.9512;0.422552318;0.39478967;;;;;;;;;;,
backtest;127;;551.77;492.156;0.447985228;0.39906114;;;;;;;;;;,
backtest;128;;566.4;510.38412;0.459991793;0.41402063;;;;;;;;;;,
backtest;129;;582.48;530.69147;0.473188346;0.4306865;;;;;;;;;;,
backtest;130;;545.23;549.5698;0.442617973;0.44617957;;;;;;;;;;,
backtest;131;;510.8;545.06635;0.41436192;0.44248366;;;;;;;;;;,
backtest;132;;536.72;521.62695;0.435633976;0.42324743;;;;;;;;;;,
backtest;133;;538.27;511.88184;0.436906032;0.41524976;;;;;;;;;;,
backtest;134;;531.88;509.9371;0.431661879;0.41365376;;;;;;;;;;,
backtest;135;;540.61;508.66656;0.438826426;0.41261107;;;;;;;;;;,
backtest;136;;536.89;512.0029;0.435773492;0.41534913;;;;;;;;;;,
backtest;137;;537.15;514.10046;0.435986869;0.41707054;;;;;;;;;;,
backtest;138;;537.61;515.41223;0.436364382;0.4181471;;;;;;;;;;,
backtest;139;;523.51;516.2847;0.424792778;0.41886312;;;;;;;;;;,
backtest;140;;525.6;511.12564;0.426508002;0.41462916;;;;;;;;;;,
backtest;141;;518.31;507.28122;0.420525236;0.41147414;;;;;;;;;;,
backtest;142;;529.39;502.42596;0.429618383;0.4074895;;;;;;;;;;,
backtest;143;;530.45;503.80402;0.430488305;0.40862045;;;;;;;;;;,
backtest;144;;536.06;506.84637;0.435092327;0.41111726;;;;;;;;;;,
backtest;145;;535.6;511.54257;0.434714813;0.41497135;;;;;;;;;;,
backtest;146;;541.78;514.6506;0.439786623;0.41752204;;;;;;;;;;,
backtest;147;;535.84;518.4483;0.434911777;0.42063874;;;;;;;;;;,
backtest;148;;542.33;518.34515;0.440237998;0.4205541;;;;;;;;;;,
backtest;149;;544.27;519.6044;0.441830119;0.4215875;;;;;;;;;;,
backtest;150;;534;521.2475;0.433401723;0.422936;;;;;;;;;;,
backtest;151;;517.23;518.1594;0.4196389;0.42040166;;;;;;;;;;,
backtest;152;;518.89;508.32013;0.421001231;0.41232675;;;;;;;;;;,
backtest;153;;520.53;501.18906;0.422347148;0.4064744;;;;;;;;;;,
backtest;154;;532.35;498.3841;0.4320476;0.40417242;;;;;;;;;;,
backtest;155;;534.42;502.8548;0.43374641;0.40784144;;;;;;;;;;,
backtest;156;;529.7;508.6226;0.429872794;0.41257498;;;;;;;;;;,
backtest;157;;533.65;510.8051;0.433114485;0.41436613;;;;;;;;;;,
backtest;158;;530.88;512.74713;0.430841198;0.4159599;;;;;;;;;;,
backtest;159;;533.29;512.6199;0.43281904;0.41585544;;;;;;;;;;,
backtest;160;;531.13;512.8191;0.431046368;0.41601896;;;;;;;;;;,
backtest;161;;520.37;512.0179;0.422215839;0.41536143;;;;;;;;;;,
backtest;162;;519.75;506.92365;0.421707017;0.41118068;;;;;;;;;;,
backtest;163;;516;502.41534;0.418629462;0.4074808;;;;;;;;;;,
backtest;164;;517.73;498.3931;0.420049241;0.4041798;;;;;;;;;;,
backtest;165;;525.83;496.9305;0.426696758;0.4029795;;;;;;;;;;,
backtest;166;;522.2;500.13983;0.423717686;0.40561333;;;;;;;;;;,
backtest;167;;524.54;502.05878;0.42563808;0.40718818;;;;;;;;;;,
backtest;168;;536.19;503.92908;0.435199015;0.4087231;;;;;;;;;;,
backtest;169;;504.58;509.62842;0.409257284;0.41340044;;;;;;;;;;,
backtest;170;;533.76;501.45935;0.43320476;0.40669623;;;;;;;;;;,
backtest;171;;531.07;504.33942;0.430997128;0.40905985;;;;;;;;;;,
backtest;172;;544.86;507.76447;0.442314321;0.41187072;;;;;;;;;;,
backtest;173;;539.39;515.46484;0.437825195;0.41819027;;;;;;;;;;,
backtest;174;;541.27;518.964;0.439368076;0.42106196;;;;;;;;;;,
backtest;175;;528.01;520.52625;0.428485843;0.4223441;;;;;;;;;;,
backtest;176;;514.38;515.4257;0.417299959;0.41815814;;;;;;;;;;,
backtest;177;;521.01;504.9839;0.422741075;0.40958875;;;;;;;;;;,
backtest;178;;534.63;499.80734;0.433918753;0.40534046;;;;;;;;;;,
backtest;179;;554.7;503.60767;0.450389824;0.4084593;;;;;;;;;;,
backtest;180;;548.5;516.5315;0.4453016;0.41906565;;;;;;;;;;,
backtest;181;;546.13;524.5144;0.443356586;0.4256171;;;;;;;;;;,
backtest;182;;537.41;527.0961;0.436200246;0.42773587;;;;;;;;;;,
backtest;183;;516.71;523.4784;0.419212146;0.42476687;;;;;;;;;;,
backtest;184;;522.04;511.1486;0.423586377;0.414648;;;;;;;;;;,
backtest;185;;519.59;503.3462;0.421575708;0.40824473;;;;;;;;;;,
backtest;186;;529.48;498.91577;0.429692245;0.40460876;;;;;;;;;;,
backtest;187;;542.27;501.41055;0.440188757;0.40665618;;;;;;;;;;,
backtest;188;;541.22;510.192;0.439327041;0.41386294;;;;;;;;;;,
backtest;189;;546.57;517.0051;0.443717686;0.41945434;;;;;;;;;;,
backtest;190;;543.64;522.8089;0.44131309;0.4242174;;;;;;;;;;,
backtest;191;;577.55;524.64557;0.469142388;0.42572474;;;;;;;;;;,
backtest;192;;570.53;537.84686;0.463381206;0.43655875;;;;;;;;;;,
backtest;193;;590.57;545.6206;0.479827657;0.44293857;;;;;;;;;;,
backtest;194;;610.03;556.466;0.495798112;0.45183915;;;;;;;;;;,
backtest;195;;598.45;570.92706;0.486294625;0.46370706;;;;;;;;;;,
backtest;196;;613.21;575.4433;0.498407879;0.46741346;;;;;;;;;;,
backtest;197;;596.24;580.78925;0.484480919;0.4718008;;;;;;;;;;,
backtest;198;;593.16;576.84814;0.481953221;0.4685664;;;;;;;;;;,
backtest;199;;597.06;570.39886;0.485153878;0.46327358;;;;;;;;;;,
backtest;200;;574.23;567.13666;0.466417727;0.46059635;;;;;;;;;;,
backtest;201;;565.68;557.0663;0.459400903;0.45233178;;;;;;;;;;,
backtest;202;;579.96;546.16595;0.47112023;0.4433861;;;;;;;;;;,
backtest;203;;532.3;545.48456;0.432006565;0.44282687;;;;;;;;;;,
backtest;204;;548.58;529.5385;0.445367255;0.42974028;;;;;;;;;;,
backtest;205;;553.67;523.08887;0.449544522;0.42444715;;;;;;;;;;,
backtest;206;;536.25;524.30695;0.435248256;0.42544684;;;;;;;;;;,
backtest;207;;512.19;520.892;0.415502667;0.4226443;;;;;;;;;;,
backtest;208;;494.81;508.64703;0.401239229;0.41259503;;;;;;;;;;,
backtest;209;;498.46;492.40256;0.404234715;0.3992635;;;;;;;;;;,
backtest;210;;463.73;483.33435;0.375732458;0.39182138;;;;;;;;;;,
backtest;211;;500.81;466.49265;0.406163316;0.37799972;;;;;;;;;;,
backtest;212;;498.73;469.57443;0.404456299;0.38052887;;;;;;;;;;,
backtest;213;;519.74;476.41824;0.42169881;0.38614547;;;;;;;;;;,
backtest;214;;514.24;490.35376;0.417185064;0.39758208;;;;;;;;;;,
backtest;215;;527.65;498.46072;0.428190398;0.4042353;;;;;;;;;;,
backtest;216;;531.65;506.80704;0.431473123;0.41108498;;;;;;;;;;,
backtest;217;;533.65;512.79224;0.433114485;0.4159969;;;;;;;;;;,
backtest;218;;508.9;515.8545;0.412802626;0.41851005;;;;;;;;;;,
backtest;219;;513.83;506.38098;0.416848584;0.4107353;;;;;;;;;;,
backtest;220;;527.45;498.69748;0.428026262;0.4044296;;;;;;;;;;,
backtest;221;;522.83;499.56094;0.424234715;0.40513825;;;;;;;;;;,
backtest;222;;505.72;500.49387;0.41019286;0.40590388;;;;;;;;;;,
backtest;223;;501.41;494.4269;0.406655724;0.40092483;;;;;;;;;;,
backtest;224;;513.57;487.37222;0.416635207;0.3951352;;;;;;;;;;,
backtest;225;;517.93;487.77795;0.420213377;0.39546818;;;;;;;;;;,
backtest;226;;514.87;491.98358;0.417702093;0.39891964;;;;;;;;;;,
backtest;227;;533.93;494.62448;0.433344276;0.401087;;;;;;;;;;,
backtest;228;;552.47;503.51978;0.448559705;0.40838718;;;;;;;;;;,
backtest;229;;559.5;517.8478;0.454329093;0.42014593;;;;;;;;;;,
backtest;230;;554.46;530.5199;0.45019286;0.43054566;;;;;;;;;;,
backtest;231;;565.74;535.3615;0.459450144;0.43451908;;;;;;;;;;,
backtest;232;;572.68;540.0323;0.465145671;0.43835232;;;;;;;;;;,
backtest;233;;576;544.90796;0.467870332;0.4423537;;;;;;;;;;,
backtest;234;;608.36;548.68445;0.494427575;0.44545296;;;;;;;;;;,
backtest;235;;627.18;563.0756;0.509872794;0.45726353;;;;;;;;;;,
backtest;236;;611.08;581.5763;0.496659828;0.47244668;;;;;;;;;;,
backtest;237;;645.49;587.06744;0.524899467;0.47695318;;;;;;;;;;,
backtest;238;;636.5;600.02295;0.517521543;0.4875855;;;;;;;;;;,
backtest;239;;614.47;605.5453;0.499441937;0.4921176;;;;;;;;;;,
backtest;240;;606.85;597.73816;0.493188346;0.48571044;;;;;;;;;;,
backtest;241;;614.42;586.0785;0.499400903;0.47614157;;;;;;;;;;,
backtest;242;;594.01;580.8615;0.4826508;0.4718601;;;;;;;;;;,
backtest;243;;610.61;571.61237;0.496274108;0.4642695;;;;;;;;;;,
backtest;244;;619.12;572.1341;0.503258104;0.46469766;;;;;;;;;;,
backtest;245;;615.27;578.9616;0.500098482;0.47030085;;;;;;;;;;,
backtest;246;;611.07;583.8377;0.496651621;0.47430262;;;;;;;;;;,
backtest;247;;612.99;585.0075;0.498227329;0.4752626;;;;;;;;;;,
backtest;248;;600.38;585.6086;0.487878539;0.47575593;;;;;;;;;;,
backtest;249;;593.47;580.829;0.482207632;0.4718334;;;;;;;;;;,
backtest;250;;574.05;573.8225;0.466270004;0.4660833;;;;;;;;;;,
backtest;251;;578.34;561.3918;0.469790726;0.45588166;;;;;;;;;;,
backtest;252;;580.92;554.37476;0.471908084;0.45012292;;;;;;;;;;,
backtest;253;;592.49;552.92615;0.481403365;0.44893408;;;;;;;;;;,
backtest;254;;570.63;558.57965;0.463463275;0.45357376;;;;;;;;;;,
backtest;255;;572.25;555.5679;0.464792778;0.45110208;;;;;;;;;;,
backtest;256;;550.34;552.34766;0.446811654;0.4484593;;;;;;;;;;,
